Attack_Day,Baseline_CR,CR_Omega_30,CR_Omega_40,CR_Omega_50
385,-0.3778986729705246,-0.02271476891884172,-0.17593744317534954,-0.008789891483225287
386,-0.3778986729705246,-0.02842548377420029,-0.18175749860589185,-0.041521657103913645
387,-0.3778986729705246,-0.02282898321594895,-0.14937487591260867,-0.008912527130305659
388,-0.3778986729705246,-0.02853741378536534,-0.15572618268840577,-0.04163120004474574
389,-0.3778986729705246,-0.022943151827337194,-0.14950190204812452,-0.009035113723127153
390,-0.3778986729705246,-0.017237004630148545,-0.14315313579503774,0.0236704717221472
391,-0.3778986729705246,-0.011416734489016256,-0.1366773942168893,0.030451461340274988
392,-0.3778986729705246,-0.0014737492629951499,-0.12681581678197307,0.03866689528397216
393,-0.3778986729705246,-0.007609284511470582,-0.13361830474038294,0.03158597719460776
394,-0.3778986729705246,-0.0015964599679645364,-0.12695186654114132,0.03852527692218488
395,-0.3778986729705246,0.004536621066411613,-0.12015209957791473,0.04560336264431364
396,-0.3778986729705246,0.010792363721475295,-0.11321633727542368,0.05282301008088497
397,-0.3778986729705246,0.017173221229640157,-0.10614185972688295,0.06018705046618755
398,-0.3778986729705246,0.010664746571312,-0.11335782682639461,0.05267572927317887
399,-0.3778986729705246,-0.06361222167353087,-0.08523466594254325,0.059124792594010045
400,-0.3778986729705246,-0.05710635040506595,-0.07802158522987135,0.0666331092585416
401,-0.3778986729705246,-0.06374233909890015,-0.08537892755679666,0.058974626260719476
402,-0.3778986729705246,-0.0558268244992326,-0.07618819247896891,0.06670345425606494
403,-0.3778986729705246,-0.06248840371118336,-0.08358220266091221,0.05904356435829239
404,-0.3778986729705246,-0.06901675133889518,-0.09082833263921675,0.05153687225847514
405,-0.3778986729705246,-0.06261897066373756,-0.08372712526047832,0.05889343051629603
406,-0.3778986729705246,-0.05609323437507685,-0.0764838937341652,0.06639711993927333
407,-0.3778986729705246,-0.04943698336064295,-0.06909579757732587,0.07405092611447772
408,-0.3778986729705246,-0.04416553441558768,-0.06448621394224818,0.07833444416377144
409,-0.3778986729705246,-0.0510603394292114,-0.07211426401403609,0.07044193774525953
410,-0.3778986729705246,-0.044303430515860165,-0.06463877494368397,0.07817659403540111
411,-0.3778986729705246,-0.037411383424241884,-0.057013776091924706,0.08606594345134566
412,-0.3778986729705246,-0.04996579785295163,-0.0695917893401522,0.07158638814192053
413,-0.3778986729705246,-0.043186998108075136,-0.062065850457217575,0.07934393109138105
414,-0.3778986729705246,-0.0362726223683012,-0.05438939279662425,0.08725662489983077
415,-0.3778986729705246,-0.029219959113731764,-0.046559405982819047,0.09532757258444946
416,-0.3778986729705246,-0.036413675633392595,-0.05454599253290024,0.08709520594613851
417,-0.3778986729705246,-0.029363833444124826,-0.04671913771382041,0.09516292525168346
418,-0.3778986729705246,-0.02217299441107201,-0.038735745798359256,0.10339199894333917
419,-0.3778986729705246,-0.029507650224786075,-0.046878805552129865,0.09499834377785021
420,-0.3778986729705246,-0.036695612922225784,-0.054859004110824894,0.08677256171567116
421,-0.3778986729705246,-0.02965140947873482,-0.04703840952330374,0.09483382813660668
422,-0.3778986729705246,-0.022466321966373992,-0.03906140304403205,0.10305631988596087
423,-0.3778986729705246,-0.015137532703765944,-0.030924856435174952,0.11144326147030226
424,-0.3778986729705246,-0.0022092755707628087,-0.017223876616032086,0.12256854143197571
425,-0.3778986729705246,-0.0024791692144597866,-0.018333137206625855,0.1212553919635374
426,-0.3778986729705246,0.005249363103186466,-0.009782025281020679,0.13000631498943027
427,-0.3778986729705246,-0.002633739860812584,-0.018504159445137836,0.1210803735030197
428,-0.3778986729705246,0.00509170104390666,-0.009956467964302829,0.1298277961597022
429,-0.3778986729705246,-0.0027882486789069516,-0.018675113274754462,0.1209054250498861
430,-0.3778986729705246,-0.010510599407264287,-0.027219385678997177,0.11216154216558248
431,-0.3778986729705246,-0.002942695693474051,-0.01884599872283943,0.12073058588171992
432,-0.3778986729705246,0.004776566094591872,-0.010305144027558555,0.12947101047218001
433,-0.3778986729705246,-0.0030970809292353296,-0.01901681581674497,0.12055577738991076
434,-0.3778986729705246,-0.010813255012586231,-0.027554254170147896,0.11181884896928673
435,-0.3778986729705246,-0.05108731820807788,-0.06702347838098854,0.07254512502432287
436,-0.3778986729705246,-0.04433094887030398,-0.059446173278870695,0.08032184039763501
437,-0.3778986729705246,-0.0779463396694896,-0.09222420959842548,0.04774720255469844
438,-0.3778986729705246,-0.11887999028028506,-0.13230375863999744,0.007875119959277033
439,-0.3778986729705246,-0.07807072344766064,-0.09236567540798091,0.047601587416220004
440,-0.3778986729705246,-0.037153446297109566,-0.05230215818602568,0.08745772117860318
441,-0.3778986729705246,0.004105522576593912,0.002076920505233004,0.0964107725593144
442,-0.3778986729705246,0.045149701983703494,0.04169014680669092,0.1364409696416542
443,-0.3778986729705246,0.003945642342531475,0.0018884212090575503,0.09623061267875643
444,-0.3778986729705246,-0.03708211939281536,-0.03770895980187983,0.05621642767524948
445,-0.3778986729705246,-0.07795003927415323,-0.07711789673946667,0.016382339689711478
446,-0.3778986729705246,-0.03722549899804972,-0.037881524569038705,0.056052354734008825
447,-0.3778986729705246,-0.07807709727324641,-0.07727471810067332,0.016234191185982128
448,-0.3778986729705246,-0.08280267525982643,-0.08348786892568671,0.010454509777688581
449,-0.3778986729705246,-0.042876094192871195,-0.045019109240396094,0.04934806949136461
450,-0.3778986729705246,-0.0829277922045254,-0.08364214229801892,0.010308732405924004
451,-0.3778986729705246,-0.12283840263905366,-0.12209551447943523,-0.028569269883866433
452,-0.3778986729705246,-0.08305285910244631,-0.08379635396100216,0.010163013345108274
453,-0.3778986729705246,-0.12294750529280074,-0.12223434479354589,-0.028699437743766265
454,-0.3778986729705246,-0.16271713461199344,-0.16051818564777165,-0.06741622805944936
455,-0.3778986729705246,-0.20237770491850016,-0.1986632517200121,-0.10600290258237632
456,-0.3778986729705246,-0.19851335827672434,-0.19325309075928465,-0.10104318224134912
457,-0.3778986729705246,-0.19457172470211304,-0.18773472657934276,-0.09598426749350142
458,-0.3778986729705246,-0.19859219094821667,-0.19336345804288368,-0.10114436053630615
459,-0.3778986729705246,-0.1582495669267684,-0.1545969339345239,-0.061918570775624904
460,-0.3778986729705246,-0.1986709920866403,-0.16088842125096103,-0.06775997775278708
461,-0.3778986729705246,-0.20260947298505316,-0.16705407882106937,-0.07348455659040587
462,-0.3778986729705246,-0.19874976170460845,-0.16101173440236316,-0.06787446932953933
463,-0.3778986729705246,-0.20268666721066197,-0.16717492570944348,-0.07359675833562318
464,-0.3778986729705246,-0.1988284998147295,-0.16113499822850474,-0.06798891510966099
465,-0.3778986729705246,-0.15853426758022926,-0.1230661612807108,-0.02947935222179099
466,-0.3778986729705246,-0.16327548296877037,-0.12998826405022412,-0.035969543570029794
467,-0.3778986729705246,-0.158629091888,-0.12320460333610095,-0.02960915604875569
468,-0.3778986729705246,-0.16336841079038578,-0.13012393726450655,-0.0360967513204552
